batch_id,timestamp,machine_id,product_type,risk_score,risk_level,air_temp_K,process_temp_K,rpm,torque_Nm,tool_wear_min,power_W,temp_diff,deviated_params,probable_cause,recommended_action,confidence,needs_human_review
H08001,2026-07-29T06:00:00,LINE2-M02,H,0.002,Low,298.7,309.4,1474,40.4,5,6236.0,10.7,,,,,False
H08002,2026-07-29T06:04:00,LINE2-M02,H,0.0,Low,303.1,312.9,1552,42.3,10,6874.8,9.8,,,,,False
M08003,2026-07-29T06:09:00,LINE1-M02,M,0.995,High,300.9,310.3,1413,19.8,13,2929.8,9.4,,"Most evidence points to a Power Failure (PWF): the computed power output is 2930 W, which is below the normal 3500–9000 W range, and power is the top ML contributor. Other known failure modes are not met (tool wear is low, rpm is not below the HDF cutoff, and overstrain is far under its threshold).","Stop the machine and have maintenance inspect and restore the spindle/motor drive power delivery (e.g., check motor/drive output and electrical supply) before continuing the batch.",High,False
H08004,2026-07-29T06:13:00,LINE3-M01,H,0.0,Low,299.3,309.9,1423,42.9,18,6392.8,10.6,,,,,False
L08005,2026-07-29T06:15:00,LINE3-M01,L,0.005,Low,304.0,313.9,1583,51.4,20,8520.6,9.9,,,,,False
M08006,2026-07-29T06:18:00,LINE2-M01,M,0.002,Low,300.1,310.2,1839,27.8,23,5353.7,10.1,,,,,False
L08007,2026-07-29T06:23:00,LINE3-M01,L,0.996,High,302.4,310.5,1876,53.2,25,10451.4,8.1,,"Most likely Power Failure (PWF): computed power output is 10,451 W, which is above the 9,000 W upper bound and is the strongest contributing feature. Tool wear and torque are elevated contributors but do not meet the Tool Wear Failure or Overstrain thresholds, and Heat Dissipation Failure conditions are not met due to high rpm.","Immediately reduce load to bring power below 9,000 W by lowering spindle/rotational speed setpoint (or feed rate if linked) and re-run a short verification cycle to confirm power returns to the 3,500–9,000 W range before continuing the batch.",High,False
H08008,2026-07-29T06:25:00,LINE2-M01,H,0.03,Low,296.7,306.1,1535,54.0,30,8680.2,9.4,,,,,False
H08009,2026-07-29T06:31:00,LINE3-M01,H,0.002,Low,296.7,305.9,1607,36.2,35,6091.9,9.2,,,,,False
H08010,2026-07-29T06:36:00,LINE3-M02,H,0.958,High,295.9,303.9,1236,49.4,40,6394.0,8.0,Process temperature [K],"Most consistent with Heat Dissipation Failure (HDF): the temperature differential is low (8.0 K below the 8.6 K threshold) and rotational speed is also low (1236 rpm), indicating inadequate heat removal. Power and overstrain are within their normal ranges and tool wear is far from the TWF band, so they are more likely contributing risk factors than the direct failure trigger.",Increase spindle speed to at least 1380 rpm (or adjust the machine program/feed settings to raise rpm) to restore adequate heat dissipation before continuing this batch.,High,False
H08011,2026-07-29T06:40:00,LINE3-M02,H,0.0,Low,299.2,310.1,1514,40.6,45,6437.0,10.9,,,,,False
M08012,2026-07-29T06:42:00,LINE3-M02,M,0.032,Low,299.7,308.3,1448,45.6,48,6914.5,8.6,,,,,False
M08013,2026-07-29T06:45:00,LINE3-M01,M,0.005,Low,301.0,313.5,1375,42.6,51,6134.0,12.5,,,,,False
M08014,2026-07-29T06:47:00,LINE3-M02,M,0.005,Low,300.9,311.5,1275,50.0,54,6675.9,10.6,,,,,False
L08015,2026-07-29T06:49:00,LINE3-M01,L,0.101,Low,300.5,311.0,1276,27.0,56,3607.8,10.5,,,,,False
M08016,2026-07-29T06:51:00,LINE1-M01,M,0.0,Low,301.6,312.3,1535,41.1,59,6606.6,10.7,,,,,False
H08017,2026-07-29T06:54:00,LINE3-M02,H,0.109,Low,300.4,311.2,2262,17.2,64,4074.3,10.8,,,,,False
M08018,2026-07-29T06:58:00,LINE2-M01,M,0.007,Low,300.0,311.8,1353,55.1,67,7806.9,11.8,,,,,False
L08019,2026-07-29T07:03:00,LINE2-M02,L,0.001,Low,305.8,316.3,1690,41.0,69,7256.0,10.5,"Air temperature [K],Process temperature [K]",,,,False
L08020,2026-07-29T07:08:00,LINE1-M01,L,0.001,Low,298.6,309.2,1168,46.5,71,5687.5,10.6,,,,,False
M08021,2026-07-29T07:11:00,LINE3-M01,M,0.003,Low,302.4,312.3,1326,44.6,74,6193.1,9.9,,,,,False
M08021,2026-07-29T07:11:00,LINE3-M01,M,0.003,Low,302.4,312.3,1326,44.6,74,6193.1,9.9,,,,,False
M08021,2026-07-29T07:11:00,LINE3-M01,M,0.003,Low,302.4,312.3,1326,44.6,74,6193.1,9.9,,,,,False
H08022,2026-07-29T07:17:00,LINE3-M01,H,0.008,Low,300.4,309.6,1168,43.4,79,5308.4,9.2,,,,,False
H08022,2026-07-29T07:17:00,LINE3-M01,H,0.008,Low,300.4,309.6,1168,43.4,79,5308.4,9.2,,,,,False
H08022,2026-07-29T07:17:00,LINE3-M01,H,0.008,Low,300.4,309.6,1168,43.4,79,5308.4,9.2,,,,,False
H08022,2026-07-29T07:17:00,LINE3-M01,H,0.008,Low,300.4,309.6,1168,43.4,79,5308.4,9.2,,,,,False
M08023,2026-07-29T07:22:00,LINE1-M02,M,0.001,Low,299.2,308.5,1725,37.1,82,6701.8,9.3,,,,,False
M08023,2026-07-29T07:22:00,LINE1-M02,M,0.001,Low,299.2,308.5,1725,37.1,82,6701.8,9.3,,,,,False
M08023,2026-07-29T07:22:00,LINE1-M02,M,0.001,Low,299.2,308.5,1725,37.1,82,6701.8,9.3,,,,,False
M08023,2026-07-29T07:22:00,LINE1-M02,M,0.001,Low,299.2,308.5,1725,37.1,82,6701.8,9.3,,,,,False
M08024,2026-07-29T07:25:00,LINE2-M01,M,0.001,Low,301.7,311.1,1761,27.3,85,5034.4,9.4,,,,,False
M08024,2026-07-29T07:25:00,LINE2-M01,M,0.001,Low,301.7,311.1,1761,27.3,85,5034.4,9.4,,,,,False
